id,name,country,region,latitude,longitude,elevation,timezone,distance
ULJ8M,Henry County Airport,US,GA,33.3899,-84.331,269,America/New_York,1787664.5
ULXZV,St. Catharines / Niagara District Airport,CA,ON,43.19,-79.17,98,America/Toronto,1962665.0
UO0HZ,Britton,US,SD,45.81522,-97.74313,401,America/Chicago,1775974.3
URWBU,Ottawa Gatineau Airport,CA,QC,45.52,-75.56,64,America/Toronto,1747180.4
URWSF,Washington Island,US,WI,45.3883,-86.924,199,America/Detroit,1727557.6
UWI7O,Barwick Lafayette Airport,US,GA,34.6885,-85.2903,237,America/New_York,1777032.0
V2BQ7,Perry Municipal Airport,US,IA,41.828,-94.1599,309,America/Chicago,1901367.6
V83LW,Ruby Valley Field Airport,US,MT,45.53542,-112.30228,1459,America/Denver,1938848.0
VAIFP,Livingston Municipal Airport,US,TN,36.4135,-85.31044,419,America/Chicago,1880796.2
VBVX6,Bromptonville,CA,QC,45.48,-71.95,130,America/Toronto,1817359.6
VBZL5,Cornwall,CA,ON,45.02,-74.75,64,America/Toronto,1704967.2
VCVR2,Angers,CA,QC,45.55,-75.55,91,America/Toronto,1750600.0
VDZJ4,Appleton,CA,ON,45.19,-76.11,133,America/Toronto,1704240.4
VF54M,Stevens Field,US,CO,37.2862,-107.056,2334,America/Denver,1949290.7
VFP98,Suwannee County Airport,US,FL,30.3001,-83.0247,32,America/New_York,1793025.7
VMR5B,San Saba County Municipal Airport,US,TX,31.23575,-98.7177,382,America/Chicago,1394185.6
VUTNJ,Elizabethtown Addington Field Airport,US,KY,37.686,-85.925,230,America/New_York,1925026.9
W21FJ,Campbell County Airport,US,VA,37.1417,-79.0164,182,America/New_York,1628991.0
W3CDZ,Oshawa,CA,ON,43.92,-78.88,140,America/Toronto,1812264.2
WB9CW,Madisonville Municipal Airport,US,KY,37.35593,-87.39822,134,America/Chicago,1803548.0
WFT9Q,Mobile Upper Air Station-ontario,CA,ON,43.27,-79.78,76,America/Toronto,1973803.7
WG2Q7,Nicolet,CA,QC,46.2,-72.62,30,America/Toronto,1875536.6
WLH1H,Hotel,US,MT,47.6975,-111.9429,1179,America/Denver,1969657.6
WOU3F,Marion-Crittenden County Airport,US,KY,37.3363,-88.1097,199,America/Chicago,1756684.5
WRV4V,Somerset County Airport,US,PA,40.0389,-79.015,693,America/New_York,1884897.0
WVB03,November (Grover),US,CO,40.63,-103.83,1459,America/Denver,1818880.9
WVNK5,Lehighton Jake Arner Memorial Airport,US,PA,40.8095,-75.7615,163,America/New_York,1717350.6
WYIQW,Sonya Sundance Meadows,CA,ON,44.22,-78.95,275,America/Toronto,1836615.6
X1DED,La Veta Pass,US,CO,37.50111,-105.16694,3114,America/Denver,1455088.5
X1T2S,Dayton,US,TN,35.4817,-84.9322,219,America/New_York,1850989.9
X3WP1,Sabrevois,CA,QC,45.22,-73.2,38,America/Toronto,1758024.8
X4WJY,Saint Michel,CA,QC,46.87,-70.88,69,America/Toronto,1991372.5
X7GSO,Orillia Brain,CA,ON,44.6,-79.44,250,America/Toronto,1850817.8
XEEN8,N Bar Ranch Airport,US,MT,46.8381,-108.9368,1355,America/Denver,1885938.3
XEPP4,Valleyfield,CA,QC,45.28,-74.1,46,America/Toronto,1745062.9
