source,target,weight
149,2535,17.018461336435305
149,2699,15.401455878639558
149,2719,10.863648111958554
150,811,40.431985607734774
151,188,35.20113535288372
151,752,2.363552051928562
151,832,34.635588638054955
152,813,7.805548599639257
152,2669,7.805548599639257
153,225,119.15590530539127
153,2580,116.79168034101406
154,168,16.13359912004557
154,746,3.5205165365794056
154,890,12.321500770550193
155,694,24.98464601318723
155,2661,3.7079228197544767
155,2688,3.7079228197544767
157,158,73.77007672368855
157,215,13.596337010727186
158,191,75.67570331766329
158,209,90.08163548629929
158,731,48.30309436927728
158,827,90.08163548629929
159,211,40.95834942541316
159,549,77.5712173372344
159,2176,71.65291598191577
160,214,12.887166162138435
160,631,41.215133933303996
160,773,19.992905148437703
160,884,22.843728776710286
160,1631,1.1119492664462256
161,167,39.74660940244154
161,476,50.86596190900809
162,2534,35.943083665169574
163,2093,48.14280571307454
164,2572,8.306155658909423
164,2598,22.57005850869779
164,2707,23.25417525639203
165,184,18.530857484522016
165,742,5.865566247094839
165,2586,13.462854444117234
166,826,6.436225877941577
166,891,13.382916113878812
167,170,23.198014462626517
167,2569,32.654890808416305
168,746,18.997057245112014
168,2551,28.0928310110151
169,169,0.0
169,486,6.148367158545286
169,796,21.5019412002041
169,816,0.0
169,1270,14.940261598141804
169,2517,6.082545880225807
170,935,15.525110790714166
171,798,3.275453203193826
171,2608,7.925960860381033
172,809,59.20216284975003
172,851,74.38846511303544
173,198,47.42438976183444
173,1457,14.965824750847158
174,912,45.96318593000622
174,1702,45.96318593000622
174,1741,82.78412015931121
174,2400,92.06151314237832
174,2439,54.81584123467248
175,176,12.805854178671773
175,882,26.969296403828153
175,2640,13.478420514377783
175,2677,21.781455410755655
176,747,24.51291688639196
176,2640,22.654005263633742
176,2677,15.891398366184188
177,186,12.911691798717662
177,795,9.320443339422619
177,801,11.589854663685527
177,2643,12.911691798717662
178,715,11.553922413336817
178,786,4.760301951575126
179,768,30.137766521253806
179,808,20.029776054838404
179,2591,32.26666069853539
179,2606,25.302415452877355
180,799,8.565703735578312
180,818,9.39343003364147
180,866,11.418133280623731
180,877,20.819102468716114
181,878,0.3669432579265117
181,1012,52.50664102052944
181,2583,1.47889252437203
181,2727,1.47889252437203
182,754,18.970241921919452
182,811,11.66002473503214
183,815,10.310884288442844
183,836,40.23089755206249
183,2589,29.320863841510892
183,2616,30.097720817618626
184,694,19.510903959952277
184,787,20.596935724424938
184,2586,16.99764170834346
185,831,11.379220734285687
185,845,11.771113157962194
185,2613,9.482104633113277
186,186,0.0
186,795,14.762123116279305
186,2570,9.201391103854348
186,2643,0.0
187,794,7.928400816255786
187,2680,37.35189239360969
188,195,14.020409534999992
188,752,32.85459995528175
188,832,0.6477704648547185
188,2649,12.745716314939731
189,197,20.47025375478619
189,863,42.319491901422346
189,2593,19.69665062839739
190,751,34.705455680617696
190,938,32.40419804723079
191,807,50.05682230898695
192,192,0.0
192,736,0.0
192,876,27.21678031807212
193,199,0.5448629019134706
193,728,1.3580911118505483
193,2106,19.90383030832379
194,738,19.502192191679235
194,742,17.95347265574654
194,822,19.502192191679235
194,2586,11.979098553324802
195,832,14.172273623697498
195,2649,25.578817685027822
196,541,80.01861770130698
196,887,25.93175711372047
